"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"72287493134","2024-01-01T06:47:00","34.0236","-118.2911","54.6","LOS ANGELES DOWNTOWN USC, CA US","FM-15","7","30.05","44","51","0.00","","-0.01","3","77","CLR:00","30.05","29.85","10.00","48","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09601/01/24 06:47:02 METAR KCQT 011447Z 00000KT 10SM CLR 11/07 A3005 RMK AO2 SLP176 T01060067 53004","","3.89","mi","","","","","","PENDING COOP","2006-02-03"
"72287493134","2024-01-01T07:47:00","34.0236","-118.2911","54.6","LOS ANGELES DOWNTOWN USC, CA US","FM-15","7","30.07","43","51","0.00","","","","74","CLR:00","30.07","29.87","10.00","47","020","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09001/01/24 07:47:02 METAR KCQT 011547Z 02003KT 10SM CLR 11/06 A3007 RMK AO2 SLP183 T01060061","","3.89","mi","","","","","","PENDING COOP","2006-02-03"
"72287493134","2024-01-01T08:47:00","34.0236","-118.2911","54.6","LOS ANGELES DOWNTOWN USC, CA US","FM-15","7","30.10","44","54","0.00","","","","69","CLR:00","30.10","29.90","10.00","49","020","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09401/01/24 08:47:02 METAR KCQT 011647Z 02003KT 10SM CLR 12/07 A3010 RMK AO2 SLP192 T01220067 RTX","","3.89","mi","","","","","","PENDING COOP","2006-02-03"
"72287493134","2024-01-01T09:47:00","34.0236","-118.2911","54.6","LOS ANGELES DOWNTOWN USC, CA US","FM-15","7","30.11","44","60","0.00","","-0.06","1","56","CLR:00","30.11","29.91","10.00","52","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10801/01/24 09:47:02 METAR KCQT 011747Z 00000KT 10SM CLR 16/07 A3011 RMK AO2 SLP197 T01560067 10156 20100 51020","","3.89","mi","","","","","","PENDING COOP","2006-02-03"
"72287493134","2024-01-01T10:47:00","34.0236","-118.2911","54.6","LOS ANGELES DOWNTOWN USC, CA US","FM-15","7","30.11","39","63","0.00","","","","41","CLR:00","30.11","29.91","10.00","51","VRB","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09001/01/24 10:47:02 METAR KCQT 011847Z VRB05KT 10SM CLR 17/04 A3011 RMK AO2 SLP197 T01720039","","3.89","mi","","","","","","PENDING COOP","2006-02-03"
"72287493134","2024-01-01T11:47:00","34.0236","-118.2911","54.6","LOS ANGELES DOWNTOWN USC, CA US","FM-15","7","30.09","38","65","0.00","","","","37","CLR:00","30.09","29.89","10.00","52","VRB","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09001/01/24 11:47:02 METAR KCQT 011947Z VRB03KT 10SM CLR 18/03 A3009 RMK AO2 SLP189 T01830033","","3.89","mi","","","","","","PENDING COOP","2006-02-03"
"72287493134","2024-01-01T12:47:00","34.0236","-118.2911","54.6","LOS ANGELES DOWNTOWN USC, CA US","FM-15","7","30.06","35","65","0.00","","+0.05","8","33","CLR:00","30.06","29.86","10.00","51","VRB","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09601/01/24 12:47:02 METAR KCQT 012047Z VRB03KT 10SM CLR 18/02 A3006 RMK AO2 SLP180 T01830017 58017","","3.89","mi","","","","","","PENDING COOP","2006-02-03"
"72287493134","2024-01-01T13:47:00","34.0236","-118.2911","54.6","LOS ANGELES DOWNTOWN USC, CA US","FM-15","7","30.06","33","67","0.00","","","","28","CLR:00","30.05","29.86","10.00","51","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09001/01/24 13:47:02 METAR KCQT 012147Z 00000KT 10SM CLR 19/01 A3006 RMK AO2 SLP177 T01940006","","3.89","mi","","","","","","PENDING COOP","2006-02-03"
"72287493134","2024-01-01T14:47:00","34.0236","-118.2911","54.6","LOS ANGELES DOWNTOWN USC, CA US","FM-15","7","30.06","37","66","0.00","","","","34","CLR:00","30.06","29.86","10.00","52","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09001/01/24 14:47:02 METAR KCQT 012247Z 00000KT 10SM CLR 19/03 A3006 RMK AO2 SLP180 T01890028","","3.89","mi","","","","","","PENDING COOP","2006-02-03"
"72287493134","2024-01-01T15:47:00","34.0236","-118.2911","54.6","LOS ANGELES DOWNTOWN USC, CA US","FM-15","7","30.07","39","67","0.00","","-0.01","3","36","CLR:00","30.07","29.87","10.00","53","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10801/01/24 15:47:02 METAR KCQT 012347Z 00000KT 10SM CLR 19/04 A3007 RMK AO2 SLP183 T01940039 10194 20156 53003","","3.89","mi","","","","","","PENDING COOP","2006-02-03"
